date,slot,total,drive,collab
2025-11-01,8:00,,41,1
2025-11-01,8:30,,49,1
2025-11-01,9:00,,45,1
2025-11-01,9:30,,32,1
2025-11-01,10:00,,34,1
2025-11-01,10:30,,42,1
2025-11-01,11:00,,37,1
2025-11-01,11:30,,58,1
2025-11-01,12:00,,36,1
2025-11-01,12:30,,30,1
2025-11-01,13:00,,22,1
2025-11-01,13:30,,25,1
2025-11-01,14:00,,35,1
2025-11-01,14:30,,21,1
2025-11-01,15:00,,42,1
2025-11-01,15:30,,15,1
2025-11-01,16:00,,40,1
2025-11-01,16:30,,30,1
2025-11-01,17:00,,41,1
2025-11-01,17:30,,28,1
2025-11-01,18:00,,31,1
2025-11-01,18:30,,18,1
2025-11-01,19:00,,27,1
2025-11-01,19:30,,9,1
2025-11-01,20:00,,8,1
2025-11-01,20:30,,0,1
