Identifiant du conteneur,Quantité,
MN00A3,1,
MO11B2,12,
MP00C2,1,
MQ04G6,1,
MQ04C2,1,
MQ07A2,1,
MK10C0,2,
MQ07B4,1,
ZM18B2,1,
ML08B3,1,
MQ10D2,1,
MP10C3,1,
MY05C2,1,
MX14F1,1,
MY13A0,1,
MP00A1,1,
MM07A2,1,
MP09A1,1,
MQ07C3,1,
MY13B3,3,
ZM16C3,1,
MB05A2,1,
MQ08C1,1,
MY05A2,1,
MS00C3,1,
ZM04A0,1,
MN06B3,1,
MP06A3,1,
ZM15A1,4,
MY07E3,1,
MY11E3,2,
ZM21B2,1,
MO11C3,2,
MO11B2,0,
ZM19A2,1,
MP00D2,1,
ZM19A2,1,
MB02E1,5,
MQ02B4,1,
MF03B3,1,
MT12F5,1,
MB10A2,1,
MP01D2,1,
ZM16A0,1,
MJ00A1,1,
MQ05E0,1,
ML11E1,1,
MT12B3,1,
MQ10A1,1,
MB07E2,1,
ZM11C0,1,
MW09B0,1,
ZM03A3,1,
MW08B2,1,
MN00B0,1,
MM07B1,1,
MY11D2,1,
MF01C5,1,
MX00C2,1,
MB05A2,1,
MF03H4,1,
MF06A5,1,
MR09B0,1,
MS00A1,1,
MK10A2,2,
MI11E2,1,
MM07D3,1,
MC02D3,1,
MC08D0,1,
ZM23D0,1,
ZM23B5,1,
MP02B3,1,
MA09B1,2,
ZM11B0,1,
ZM16A2,1,
MV03A1,1,
MK11C1,1,
MS00A1,1,
MQ06B3,1,
ZM12A3,1,
MP06C5,1,
MX06A4,1,
MO11A3,1,
MS07B1,1,
MS07A1,1,
MW04D3,0,
ZM17C3,1,
MM07A3,1,
MP06D0,1,
MW03C2,4,
MX14E2,1,
MM09A4,3,
MQ07B2,1,
MQ03B5,1,
MQ11F4,1,
MQ10B2,1,
MX06B3,1,
ZM25C3,1,
MR10D0,1,
DC00H2,1,
MX12B0,1,
MD04C3,1,
MJ04F0,1,
MC03B0,2,
MC02A2,1,
MD03C3,1,
MY21F1,1,
MT19E5,3,
MM10B0,2,
MQ07A2,1,
MN10B3,1,
MV18H3,1,
MY10C3,1,
MW00D0,1,
MP00A4,1,
MQ11A2,1,
MK00C0,2,
MD03B0,1,
MF01A5,1,
MP06A3,1,
MC02A1,1,
ZM01B0,3,
MT05A5,1,
MN00A0,1,
MY03D1,1,
ML11B0,1,
MT10A1,2,
MN00B4,1,
MW19D3,1,
MP02E5,1,
MC01B3,1,
MY22D2,1,
MC04E3,1,
MK10C1,1,
MX04E4,1,
MJ02E2,1,
MM10D3,2,
MY02A0,1,
MT10C3,1,
MN07B0,1,
MQ04C7,0,
MJ05C1,1,
MQ04H2,1,
MY07A1,2,
MW14A4,2,
MP07B3,2,
MT16A0,1,
MX06B2,1,
MX03C2,0,
MO10A2,1,
MR02A3,2,
MF02C4,2,
MF02C2,2,
MO11C3,1,
MR06A3,1,
ME01A0,1,
MO11D0,1,
MT04F1,1,
MF02D4,1,
MO10B1,1,
MS07D0,1,
ME01A2,1,
MX03A0,1,
MK09C2,1,
MN00B1,1,
MM07E1,1,
MM08B3,1,
MW04A5,2,
ZM00C1,1,
MY04A2,1,
MX12B2,1,
MC10G4,1,
MD07D2,1,
QA01A1,1,
MN00A4,1,
ZM04A0,1,
ZM20B3,1,
MR08A1,1,
MM10C3,1,
MW04H0,2,
MW04J2,2,
MY19A4,1,
MF00H5,1,
MC08E1,1,
MT14A4,1,
MC01A0,1,
MT13D2,1,
ML09D4,1,
MA01A3,1,
MK02E1,1,
MT05F5,1,
MW03B2,1,
MW04D3,1,
MT10B3,1,
ZM01C1,1,
MT02D4,1,
MT04F5,1,
QA01A2,1,
QA01A1,1,
MA04A1,1,
MF03A6,1,
MI11C3,1,
MT10B0,1,
MW15C1,3,
MM08E4,1,
MX19A2,1,
MC03D2,1,
QA02D2,1,
MY06A0,3,
MM07A5,1,
MN01B2,2,
ZM02A2,1,
MV22D1,1,
MY19A4,1,
ZM01B0,2,
MP01A4,1,
MV21A3,1,
MX06C4,1,
MM09C1,1,
MY12A3,1,
MN02D0,1,
ZM22C0,1,
MO04A1,1,
MT13B1,1,
MJ05B2,1,
MP03C1,1,
MK10B1,1,
00000999990000240405,0,
MO04B1,1,
QA02B2,2,
MQ09E5,1,
MJ01C3,1,
MN00C1,1,
MJ05A1,1,
MQ11C4,2,
MW13F5,1,
MQ11B4,2,
MX19C5,1,
MQ10A3,2,
ML03I0,1,
MQ10F3,3,
MJ08A2,2,
MO11B1,2,
00000999990000240597,0,
MK09C3,1,
MD06B2,1,
MT09B1,1,
MU01B2,1,
MY06A2,1,
MP10C0,1,
MY02B0,1,
MY19D4,1,
MT03G5,1,
MW11A2,1,
MY19A4,1,
MY21C1,1,
MW00A1,1,
MY12C2,1,
MN04C1,1,
MC03E1,1,
QA01B1,1,
MW12C1,2,
ZM18A1,2,
MW06B1,1,
MJ05A1,1,
MT08C2,1,
MT21G0,1,
ZM18A3,2,
MT04B4,1,
MQ04H2,1,
ZM23C4,1,
MX06D4,1,
ZM22C2,1,
ZM18A2,1,
ZM17C3,2,
MN03B1,2,
MS00A1,2,
MY07D2,1,
MB04C1,1,
ZM02A2,1,
MQ09D1,2,
ZM01D2,1,
MW04E4,1,
MB02C2,2,
MO10A2,1,
ZM01E1,1,
MT13D3,2,
MR05A3,1,
MJ10B1,1,
MT06E0,1,
MT02A2,1,
MA09B1,2,
MQ09F4,1,
ML11E3,1,
MQ09C5,1,
MO11A3,2,
MO11C3,1,
MO11B2,2,
MQ03E1,2,
MN00A2,2,
ML03J3,1,
MM06E5,1,
MM05G1,1,
MM03F4,2,
MN06A2,1,
MO11A3,1,
MY12C2,1,
MX06C4,1,
MC03D2,1,
MC04C1,1,
MY11A0,1,
MQ06E1,1,
ZM27A2,1,
MI04D2,1,
ZM22C0,1,
MI05E2,1,
MF04C3,1,
MI10D1,1,
ZM13A1,2,
MY18E0,1,
ZM02A2,1,
MP06A4,2,
MW09D5,1,
ZM21A2,2,
MT09C5,1,
MP07B3,2,
ZM14A1,2,
MY20D4,1,
MQ00D4,1,
MT03B0,1,
MR08B3,1,
ZM21B1,1,
MO06B5,1,
MW00D0,1,
MQ10A3,1,
MQ04A0,1,
MR06B1,1,
MX16D3,1,
MW01B3,1,
MI11B3,1,
MJ10B1,1,
MC00G5,1,
MW00B3,1,
MF01F5,1,
MO02A2,1,
MY06A1,1,
MX09A1,2,
MT08D3,1,
MA04B2,1,
MJ09D3,1,
ZM01A1,1,
ZM22A2,2,
MY14B1,1,
MY03B2,1,
MP00C2,1,
MS07B0,1,
MO09D0,1,
MV20E4,1,
MQ02C1,2,
MY21A0,2,
MW18A4,1,
MW19C1,1,
MV21C4,1,
MP06D5,1,
MY01B3,1,
MW19B4,1,
MN03F0,1,
MC00B0,1,
MW19C1,1,
ML03I0,1,
MW19B4,1,
MW04G5,1,
ME08B3,2,
MS02G5,1,
MD10G1,1,
MP03E1,1,
MF03B4,1,
MN00A3,1,
MW04D3,1,
MO00D0,0,
MP00B3,1,
ZM11A3,1,
ZM17C3,1,
MR10A2,1,
MR03A2,1,
MA01C3,1,
MQ02C4,1,
MM07A2,1,
ME00G1,1,
MR03A3,1,
MQ04E7,1,
MC04B2,1,
MP05D1,1,
ZM23B2,1,
MY05B1,1,
MN06A2,1,
MX19F0,1,
MX01A0,1,
MI05E1,1,
ML11D4,1,
MJ05B3,1,
MN00B2,1,
ML03I0,1,
MO06E1,1,
MW04D2,1,
ZM27A2,1,
MQ02F3,1,
MP06D1,1,
MP00C4,1,
ME00A0,2,
ZM01C2,1,
QA00B0,2,
MT07A0,1,
MD06B2,1,
MT07B1,1,
MB07C0,1,
MK10C0,4,
MI11C0,1,
ZM25B1,1,
MW04J4,1,
QA02F0,2,
MB09B0,3,
MY20C3,1,
ZM22A0,1,
MM07C2,1,
MY06B2,1,
MF02B3,1,
MF02E6,2,
