ID de lieu,Quantité,
MX21D4,3,
ZM17C3,1,
MQ00B3,6,
MK11B3,2,
MB05A2,1,
MY02D4,2,
MP09B4,3,
ZM17C3,1,
MM08D2,3,
MY07C3,2,
MJ09F2,1,
MI05E3,3,
MW04I5,3,
MV21D2,3,
MY07A5,1,
MT02E5,1,
MY02D1,1,
MW18F2,2,
MT04B4,2,
MX23C4,1,
ZM15B1,1,
ZM01E1,2,
MX21C3,1,
QA03A1,1,
MT02C5,1,
MP00A4,1,
MX13C1,1,
MT13C2,1,
MP06A3,1,
MC04A2,1,
MW19A0,1,
MT08C5,1,
MR03A3,1,
QA00A0,2,
MY21F4,3,
MC04A0,2,
MX22H0,0,
MO01A2,2,
MQ11B2,1,
ZM22C0,1,
MT08E2,1,
MD08A0,1,
MX18D0,1,
MD08C0,1,
MX23A4,1,
MB05A2,1,
ZM00C1,1,
MC11A3,1,
MT10A3,1,
MB01D2,1,
MY21F5,3,
ZM19B1,1,
MW00A3,1,
MX01B1,1,
ML11D1,1,
MO11B2,3,
MF03G3,1,
MQ08F4,1,
MQ07D1,2,
MR09C0,1,
MN00A3,1,
MT12C4,1,
MO00B4,1,
MM08A2,1,
MM10A0,1,
MO09D3,1,
MN11E3,1,
MT12D3,3,
MX06A4,1,
QA00A0,1,
MA01C2,1,
MO11D0,1,
MS00E4,1,
QA02A2,1,
MJ01A4,1,
MF04E1,1,
MY08A2,1,
MY01B2,1,
MV03C3,1,
ZM02A3,1,
MX17A0,1,
QA03B2,1,
ML11E5,1,
MY07B2,1,
MQ02C5,1,
MO00C0,1,
MW04A3,1,
MW04D2,1,
ML11B1,3,
MT20E2,1,
MR10B1,2,
MY06D1,1,
ZM13A2,1,
MR09A0,2,
ZM23D1,1,
MP00A4,2,
MR11B2,1,
MJ05B3,1,
MJ06A2,1,
MN00C1,1,
MP07A3,2,
MN01D2,3,
MC01D3,2,
MK09D4,1,
MS07B3,1,
MF00D2,1,
ZM03B0,1,
MQ08C2,2,
MQ08D1,1,
MX16C1,1,
MR10B2,1,
MK08D0,1,
MR10B3,2,
MN07A2,1,
MM07C5,1,
MP06A1,1,
MT03D3,1,
MF00C0,1,
MK05A4,2,
MY09A5,1,
MY07A4,1,
MS02A4,1,
MM09A2,2,
MX22H0,1,
MS07C0,2,
ZM03A2,1,
MS00B3,2,
MY07E3,1,
MT17B3,1,
ZM15A1,1,
MO11B2,1,
ZM20B1,1,
MQ08A1,1,
MB06D2,1,
MW15A3,2,
MQ07E3,2,
MS02G5,4,
MW09C1,1,
MN05A2,1,
MW12C2,1,
MW01A1,0,
ZM23C0,1,
MK00B4,1,
ZM11A2,1,
MJ11A3,1,
MF06E3,1,
ZM14C3,1,
MF03D3,1,
MC04E3,1,
MN07A1,1,
MR11B1,1,
MK08B3,1,
MQ06C1,1,
MP10B3,1,
MW12A1,1,
MP06E3,1,
MB05A2,1,
ZM20C2,1,
MM09A2,3,
MR08B1,1,
MP07A3,1,
MY18D4,1,
MY09B1,1,
MY19D1,1,
MW04B0,1,
MM08E4,1,
MP02C2,1,
MN00C1,1,
ZM04A0,1,
MW00A3,1,
MB02B2,2,
MY14A3,2,
MW13I1,1,
MW04H1,1,
MC01A2,1,
MY07B2,1,
MS01G1,1,
MR03A2,1,
MK02E0,2,
MY12A1,1,
MW04G3,1,
MR06C0,1,
MN03F0,1,
MP09C0,1,
MX22H0,1,
MW00D3,1,
MP03H0,1,
MS02A5,1,
ZM13A1,1,
QA02B2,4,
MS02C5,1,
MC04A0,1,
MS02C1,1,
ML09B1,1,
MR09A0,2,
ZM19C0,1,
MQ11B4,1,
MQ11C4,1,
MT14E3,1,
ZM17C3,1,
ZM21C1,1,
MX12C4,1,
MX12C3,1,
MO00B4,1,
MV23B3,1,
MB09A3,1,
MA02B2,2,
QA02B2,1,
MY23F5,1,
MP10D2,1,
QA01B0,1,
MQ07A2,1,
MW21C1,1,
MQ02E5,1,
MY01B3,1,
MT12E2,1,
ZM16B3,1,
MY14C1,1,
MY01B0,2,
ML09E1,2,
MC04D3,2,
MC03E1,2,
MC04C2,3,
MJ04D2,1,
ZM01B2,2,
MJ04E2,1,
MC02D3,2,
MQ00B4,1,
ZM16A1,1,
MO11C1,1,
MW01A1,0,
MP00D2,1,
MO11B2,1,
MW12B0,1,
ZM13A2,1,
MW04B4,1,
MW16A3,1,
ZM14A1,1,
MW04K1,1,
MW10B0,1,
ZM13C2,1,
QA01A1,1,
ZM01B2,1,
ZM02A3,1,
MI04B0,1,
MF08E0,1,
MN07A3,1,
MW08C2,1,
MP00C4,1,
MD02D2,1,
MY03E4,1,
MS08C2,1,
MX07A1,1,
MC04C1,1,
MW04A5,1,
MN06A2,1,
MN00C4,1,
MK08D0,2,
MC02B1,1,
MP03H0,1,
MU02A1,1,
MO02B1,2,
MR03A2,1,
MI11E1,1,
ZM13C1,2,
MO04A3,1,
MP06A3,1,
MO04B2,1,
MM07C4,1,
MN02A3,1,
MO05B1,1,
MU01B2,2,
MR11B1,1,
MO04B3,1,
MX00B2,1,
MQ11B2,1,
MP06A3,1,
MO11A2,1,
MP00A4,1,
MJ06A4,1,
MT09D1,1,
QA03C2,2,
MW19B0,1,
MY06A0,1,
MX06D4,1,
ZM15A3,2,
MX06C3,2,
MC00A1,1,
ZM15A1,1,
MW14F4,3,
MY21D5,3,
MO05B0,1,
MW01B3,1,
ML08B3,1,
MP00B2,1,
MQ11B4,1,
MP01B3,1,
MO05A0,1,
ML08F4,1,
MS07A1,1,
MS00A1,1,
MW10A5,3,
ML03I0,1,
MF01B3,2,
MW00B3,1,
MS00E2,1,
ML02F0,1,
MX06B3,1,
MT03B4,1,
MS00C4,1,
MC04A1,1,
MW06A2,1,
MP05E2,1,
MW04A2,1,
MP09E3,1,
MX05A0,1,
MO06F5,1,
MN05A2,1,
MN02D3,1,
ME02D0,1,
MB05A2,1,
MQ06E4,1,
ZM15A3,1,
MI05A2,1,
MI11D4,1,
MW11C2,1,
MY18A5,1,
MF03D3,1,
MM11D0,2,
MW09E5,1,
MX19A3,1,
MY07A3,1,
ZM13A3,0,
MX22C2,1,
ZM02A1,1,
MY06D1,1,
MX03A2,1,
ZM13A3,1,
MP03G0,1,
MU01C1,1,
MA11A0,1,
ZM15A1,1,
MY19A2,1,
MT21C1,1,
MP01A3,1,
MW13E5,1,
MR11D1,2,
MX12B1,1,
MA01C2,1,
ML09D1,1,
MN10D0,1,
MC00E3,1,
MQ08D1,1,
MC04A3,1,
