ID de lieu,Quantité,
MY06C0,1,
MB05A2,1,
MY09E5,1,
MS03A0,1,
MM08C4,2,
MT02B3,1,
ML10A4,1,
MB05A2,1,
MT11D5,2,
MW09E2,1,
MT10D3,2,
ME08G0,3,
MI11B3,1,
MX14E2,1,
MV04D5,1,
MP00B3,1,
MO03D1,1,
ZM16A1,2,
MS00C2,2,
MM07B4,1,
MY12D3,1,
ZM23A1,1,
MX04B1,1,
MP02C5,1,
MX23C1,1,
MF04A5,1,
MB08D2,1,
MB05A2,1,
MT11C1,2,
MB05A2,1,
MT11D4,2,
MT10D0,2,
ZM16A1,3,
MO11B2,3,
MY07A1,1,
ZM00A3,1,
MS01C5,1,
MQ04A5,1,
ZM17C2,2,
MN04E4,2,
MR09A3,1,
MM07A4,1,
ZM23C0,1,
MY05C2,1,
MW04G4,1,
MU00B2,1,
MW04B4,1,
MN10C3,1,
MX14E4,1,
ML09A4,1,
MY11A0,2,
MB08C1,1,
MC04A2,1,
MM07A3,2,
MS07A4,1,
MP08A0,1,
MY21A4,1,
MY02A5,1,
MT12A3,1,
MW13B5,1,
MC00C4,1,
MW17C1,1,
MY14A3,1,
MP05D2,1,
MR01B2,1,
MO08A1,1,
MO10A1,1,
MC08D5,1,
MW08C3,1,
MO08B1,1,
MN04A2,2,
MJ05B2,1,
MY05A2,1,
ZM13A2,1,
MF05F1,1,
MD03C1,2,
MY16B4,1,
MY18A0,1,
MK11C1,1,
ZM03A1,1,
MP07A3,2,
MQ08A0,1,
MC04A2,1,
MO11B3,1,
MJ05E3,1,
MT13B4,1,
MO11B2,1,
ZM11A2,1,
MJ04E4,1,
MQ01A2,1,
MQ09A1,1,
MQ10D2,1,
MC04A1,2,
MW06C1,3,
MJ10E4,1,
MI06D3,1,
MJ10D4,2,
MI06G1,2,
ML08C5,2,
MX00C1,2,
QA02C2,2,
MW08C2,3,
MY05C2,2,
MF06G6,1,
MV21B5,1,
MW09C5,1,
MO11A3,1,
ML03I0,1,
MX05A0,1,
MF01B5,1,
MY21E5,3,
MW00C2,1,
MW11B4,1,
MN11B1,1,
MW04J3,2,
MI06H6,1,
MY21D4,1,
QA03B2,2,
MP01D1,1,
ML08D1,2,
MW09E5,1,
MP03G0,2,
MX20B3,1,
MY07C1,1,
MJ10B2,2,
MX05A0,1,
MM07A4,1,
MT10C3,1,
MS00D1,3,
MK10A2,2,
MD08A1,2,
ZM14C3,1,
MN00B1,1,
MS02D4,1,
MA04B0,1,
MK08B2,1,
ZM20B3,1,
MT11B0,1,
ML10B2,1,
MP07B3,1,
MJ03A0,2,
MT10A3,1,
QA02D2,1,
MK08B2,0,
MK08B2,1,
MM08A1,1,
MO01B1,1,
MK11B3,1,
ZM22A1,1,
MT08E2,1,
MW08B2,1,
ZM17C3,1,
MP03G0,1,
MM08B2,3,
MM07D3,2,
MF00G3,2,
MY02D3,1,
ZM22B3,1,
MX09A3,2,
MW07A0,1,
MQ06E2,2,
MR01B2,2,
MY07E3,1,
ZM16A1,1,
MR05A3,2,
ZM27A3,0,
MT14C2,1,
MK05E3,1,
MT16B4,1,
MN00B1,2,
MY11A2,1,
MR10B1,6,
ZM21C0,1,
MT14C2,0,
MW20C0,1,
MP01A4,1,
MW16A2,1,
ZM27A3,5,
MO06C1,2,
MP11B2,1,
MQ11B1,1,
MT14C2,0,
MY22C4,3,
MR09D0,1,
MF04H4,1,
ZM11B0,1,
MR11E0,1,
MO11C3,1,
MU02A0,1,
MD07B3,1,
MR01B2,1,
ZM22C0,1,
MP02B2,1,
MF04A3,2,
ML03I0,1,
MY21D3,1,
MW00B3,1,
MR08D2,1,
MP01A3,1,
MY15C2,2,
MN07A3,1,
MD11E1,1,
ME08G0,3,
MJ06D2,1,
MY18E2,2,
MV03C5,1,
MP07A2,4,
MW04K2,2,
MN03B2,1,
MS07B1,1,
ZM23B3,1,
MY01F0,1,
MQ04D8,1,
MQ00D4,1,
MA01A2,1,
MR11A4,1,
MN04B3,1,
QA00A1,1,
MW04H4,1,
ZM00B3,1,
MW04L4,1,
MX22B2,1,
ME01C3,2,
MM07A3,0,
MT09E0,1,
